neuron_i,session_i,monkey,area,trial,seq_idx,seq_rep_n,seq_pos,elem_id,rwd_trial,prev_elem,average_win_fr,average_win_spkCount,average_win_delta_spkCount
2231,79,walt,frontal,1,7,1,1,A,1,X,2.33416087549502,1,0
2231,79,walt,frontal,1,7,1,2,C,1,A,27.431421446384,11,10
2231,79,walt,frontal,1,7,1,3,G,1,C,15.5982166749231,7,6
2231,79,walt,frontal,1,7,1,4,F,1,G,4.98753117206983,2,1
2231,79,walt,frontal,1,7,1,5,C,1,F,6.23369577235013,3,2
2231,79,walt,frontal,2,2,1,1,A,1,X,12.4688279301746,5,0
2231,79,walt,frontal,2,2,1,2,D,1,A,12.0204591637955,6,1
2231,79,walt,frontal,2,2,1,3,C,1,D,2.49376558603491,1,-4
2231,79,walt,frontal,2,2,1,4,F,1,C,17.4563591022444,7,2
2231,79,walt,frontal,2,2,1,5,C,1,F,2.49376558603491,1,-4
2231,79,walt,frontal,3,16,1,1,A,1,X,12.4688279301746,5,0
2231,79,walt,frontal,3,16,1,2,D,1,A,4.98753117206983,2,-3
2231,79,walt,frontal,3,16,1,3,C,1,D,7.48129675810474,3,-2
2231,79,walt,frontal,3,16,1,4,G,1,C,14.9625935162095,6,1
2231,79,walt,frontal,3,16,1,5,C,1,G,3.27029789983217,1,-4
2231,79,walt,frontal,4,15,1,1,A,1,X,9.97506234413965,4,0
2231,79,walt,frontal,4,15,1,2,C,1,A,2.49376558603491,1,-3
2231,79,walt,frontal,4,15,1,3,F,1,C,14.9625935162095,6,2
2231,79,walt,frontal,4,15,1,4,C,1,F,9.59135276942458,3,-1
2231,79,walt,frontal,4,15,1,5,F,1,C,12.4688279301746,5,1
2231,79,walt,frontal,5,8,1,1,A,1,X,19.9501246882793,8,0
2231,79,walt,frontal,5,8,1,2,D,1,A,24.9376558603491,10,2
2231,79,walt,frontal,5,8,1,3,C,1,D,37.4064837905237,15,7
2231,79,walt,frontal,5,8,1,4,G,1,C,19.7905199777394,8,0
2231,79,walt,frontal,5,8,1,5,F,1,G,14.9625935162095,6,-2
2231,79,walt,frontal,6,1,1,1,A,1,X,0,0,0
2231,79,walt,frontal,6,1,1,2,C,1,A,9.22135718202032,5,5
2231,79,walt,frontal,6,1,1,3,F,1,C,7.48129675810474,3,3
2231,79,walt,frontal,6,1,1,4,C,1,F,9.01953301811481,3,3
2231,79,walt,frontal,6,1,1,5,G,1,C,22.0560674619318,7,7
2231,79,walt,frontal,7,4,1,1,A,1,X,14.9625935162095,6,0
2231,79,walt,frontal,7,4,1,2,D,1,A,10.8375173697049,4,-2
2231,79,walt,frontal,7,4,1,3,C,1,D,7.18864543679142,2,-4
2231,79,walt,frontal,7,4,1,4,G,1,C,14.147458650198,5,-1
2231,79,walt,frontal,7,4,1,5,F,1,G,9.97506234413965,4,-2
2231,79,walt,frontal,8,12,1,1,A,1,X,12.4688279301746,5,0
2231,79,walt,frontal,8,12,1,2,F,1,A,17.4563591022444,7,2
2231,79,walt,frontal,8,12,1,3,C,1,F,12.4688279301746,5,0
2231,79,walt,frontal,8,12,1,4,G,1,C,12.4688279301746,5,0
2231,79,walt,frontal,8,12,1,5,C,1,G,12.8048231208226,5,0
2231,79,walt,frontal,9,5,1,1,A,1,X,4.98753117206983,2,0
2231,79,walt,frontal,9,5,1,2,C,1,A,2.49376558603491,1,-1
2231,79,walt,frontal,9,5,1,3,F,1,C,29.9251870324189,12,10
2231,79,walt,frontal,9,5,1,4,C,1,F,23.8248986835167,10,8
2231,79,walt,frontal,9,5,1,5,G,1,C,19.6141294976312,8,6
2231,79,walt,frontal,10,9,1,1,A,1,X,19.9501246882793,8,0
2231,79,walt,frontal,10,9,1,2,G,1,A,4.98753117206983,2,-6
2231,79,walt,frontal,10,9,1,3,F,1,G,19.9501246882793,8,0
2231,79,walt,frontal,10,9,1,4,C,1,F,12.4688279301746,5,-3
2231,79,walt,frontal,10,9,1,5,D,1,C,9.97506234413965,4,-4
2231,79,walt,frontal,11,14,1,1,A,1,X,19.9501246882793,8,0
2231,79,walt,frontal,11,14,1,2,D,1,A,10.0528700562025,4,-4
2231,79,walt,frontal,11,14,1,3,G,1,D,9.97506234413965,5,-3
2231,79,walt,frontal,11,14,1,4,F,1,G,20.0772998560243,8,0
2231,79,walt,frontal,11,14,1,5,C,1,F,7.48129675810474,3,-5
2231,79,walt,frontal,12,11,1,1,A,1,X,2.4159578739721,1,0
2231,79,walt,frontal,12,11,1,2,G,1,A,17.4563591022444,7,6
2231,79,walt,frontal,12,11,1,3,C,1,G,17.4563591022444,7,6
