neuron_i,session_i,monkey,area,trial,seq_idx,seq_rep_n,seq_pos,elem_id,rwd_trial,prev_elem,average_win_fr,average_win_spkCount,average_win_delta_spkCount
657,16,troy,frontal,1,11,1,1,A,0,X,9.97506234413965,4,0
657,16,troy,frontal,1,11,1,2,G,0,A,2.49376558603491,1,-3
657,16,troy,frontal,1,11,1,3,C,0,G,2.49376558603491,1,-3
657,16,troy,frontal,1,11,1,4,F,0,C,0,0,-4
657,16,troy,frontal,1,11,1,5,C,0,F,0,0,-4
657,16,troy,frontal,2,1,1,1,A,1,X,7.48129675810474,3,0
657,16,troy,frontal,2,1,1,2,C,1,A,9.72946681415834,4,1
657,16,troy,frontal,2,1,1,3,F,1,C,5.32352636271789,2,-1
657,16,troy,frontal,2,1,1,4,C,1,F,7.48129675810474,3,0
657,16,troy,frontal,2,1,1,5,G,1,C,4.98753117206983,2,-1
657,16,troy,frontal,3,6,1,1,A,1,X,7.48129675810474,3,0
657,16,troy,frontal,3,6,1,2,D,1,A,9.97506234413965,3,0
657,16,troy,frontal,3,6,1,3,C,1,D,0,0,-3
657,16,troy,frontal,3,6,1,4,F,1,C,4.98753117206983,2,-1
657,16,troy,frontal,3,6,1,5,C,1,F,2.49376558603491,2,-1
657,16,troy,frontal,4,13,1,1,A,1,X,9.97506234413965,4,0
657,16,troy,frontal,4,13,1,2,D,1,A,7.48129675810474,3,-1
657,16,troy,frontal,4,13,1,3,F,1,D,9.97506234413965,4,0
657,16,troy,frontal,4,13,1,4,C,1,F,2.49376558603491,1,-3
657,16,troy,frontal,4,13,1,5,G,1,C,4.98753117206982,2,-2
657,16,troy,frontal,5,8,1,1,A,1,X,9.97506234413965,4,0
657,16,troy,frontal,5,8,1,2,D,1,A,4.98753117206983,3,-1
657,16,troy,frontal,5,8,1,3,C,1,D,7.48129675810474,3,-1
657,16,troy,frontal,5,8,1,4,G,1,C,9.97506234413965,4,0
657,16,troy,frontal,5,8,1,5,F,1,G,2.49376558603491,1,-3
657,16,troy,frontal,6,14,1,1,A,1,X,9.97506234413965,4,0
657,16,troy,frontal,6,14,1,2,D,1,A,6.5257674320799,2,-2
657,16,troy,frontal,6,14,1,3,G,1,D,6.84567359939116,2,-2
657,16,troy,frontal,6,14,1,4,F,1,G,17.4563591022444,7,3
657,16,troy,frontal,6,14,1,5,C,1,F,14.6265983255614,6,2
657,16,troy,frontal,7,9,1,1,A,1,X,9.97506234413965,4,0
657,16,troy,frontal,7,9,1,2,G,1,A,2.49376558603491,1,-3
657,16,troy,frontal,7,9,1,3,F,1,G,7.48129675810474,3,-1
657,16,troy,frontal,7,9,1,4,C,1,F,8.87346569757164,3,-1
657,16,troy,frontal,7,9,1,5,D,1,C,7.90677584128243,3,-1
657,16,troy,frontal,8,16,1,1,A,1,X,7.48129675810474,3,0
657,16,troy,frontal,8,16,1,2,D,1,A,17.4563591022444,7,4
657,16,troy,frontal,8,16,1,3,C,1,D,9.97506234413965,4,1
657,16,troy,frontal,8,16,1,4,G,1,C,15.2552448375228,7,4
657,16,troy,frontal,8,16,1,5,C,1,G,2.49376558603491,1,-2
657,16,troy,frontal,9,2,1,1,A,1,X,9.97506234413965,4,0
657,16,troy,frontal,9,2,1,2,D,1,A,14.9625935162095,6,2
657,16,troy,frontal,9,2,1,3,C,1,D,5.63047922090668,2,-2
657,16,troy,frontal,9,2,1,4,F,1,C,9.97506234413965,4,0
657,16,troy,frontal,9,2,1,5,C,1,F,0,0,-4
657,16,troy,frontal,10,7,1,1,A,1,X,3.73993018631522,2,0
657,16,troy,frontal,10,7,1,2,C,1,A,9.97506234413965,4,2
657,16,troy,frontal,10,7,1,3,G,1,C,7.48129675810474,3,1
657,16,troy,frontal,10,7,1,4,F,1,G,4.98753117206982,2,0
657,16,troy,frontal,10,7,1,5,C,1,F,9.97506234413965,4,2
657,16,troy,frontal,11,4,1,1,A,1,X,4.98753117206983,2,0
657,16,troy,frontal,11,4,1,2,D,1,A,5.94306049809467,3,1
657,16,troy,frontal,11,4,1,3,C,1,D,4.98753117206983,2,0
657,16,troy,frontal,11,4,1,4,G,1,C,2.49376558603491,1,-1
657,16,troy,frontal,11,4,1,5,F,1,G,2.57157329809772,1,-1
657,16,troy,frontal,12,12,1,1,A,1,X,7.48129675810474,3,0
657,16,troy,frontal,12,12,1,2,F,1,A,4.98753117206983,2,-1
657,16,troy,frontal,12,12,1,3,C,1,F,4.98753117206983,2,-1
657,16,troy,frontal,12,12,1,4,G,1,C,2.49376558603491,1,-2
657,16,troy,frontal,12,12,1,5,C,1,G,12.3910202181118,6,3
657,16,troy,frontal,13,10,1,1,A,1,X,2.49376558603491,1,0
657,16,troy,frontal,13,10,1,2,C,1,A,9.97506234413965,4,3
657,16,troy,frontal,13,10,1,3,D,1,C,7.05026702383588,3,2
657,16,troy,frontal,13,10,1,4,F,1,D,2.49376558603491,1,0
657,16,troy,frontal,13,10,1,5,C,1,F,2.49376558603491,1,0
657,16,troy,frontal,14,3,1,1,A,1,X,4.98753117206983,2,0
657,16,troy,frontal,14,3,1,2,C,1,A,0,0,-2
657,16,troy,frontal,14,3,1,3,G,1,C,7.05026702383588,3,1
657,16,troy,frontal,14,3,1,4,F,1,G,4.98753117206983,2,0
657,16,troy,frontal,14,3,1,5,C,1,F,17.4563591022444,7,5
657,16,troy,frontal,15,15,1,1,A,0,X,12.0377981959057,5,0
657,16,troy,frontal,15,15,1,2,C,0,A,4.98753117206983,2,-3
657,16,troy,frontal,15,15,1,3,F,0,C,7.48129675810474,3,-2
657,16,troy,frontal,15,15,1,4,C,0,F,3.44929491205975,2,-3
657,16,troy,frontal,15,15,1,5,F,0,C,4.98753117206983,2,-3
657,16,troy,frontal,16,5,1,1,A,1,X,7.48129675810474,3,0
657,16,troy,frontal,16,5,1,2,C,1,A,5.23312670205114,2,-1
657,16,troy,frontal,16,5,1,3,F,1,C,2.20111426472159,0,-3
657,16,troy,frontal,16,5,1,4,C,1,F,0,0,-3
657,16,troy,frontal,16,5,1,5,G,1,C,2.49376558603491,1,-2
657,16,troy,frontal,17,14,2,1,A,1,X,5.28018249338314,3,0
657,16,troy,frontal,17,14,2,2,D,1,A,4.98753117206983,2,-1
657,16,troy,frontal,17,14,2,3,G,1,D,14.9625935162095,5,2
657,16,troy,frontal,17,14,2,4,F,1,G,7.48129675810474,3,0
657,16,troy,frontal,17,14,2,5,C,1,F,2.49376558603491,1,-2
657,16,troy,frontal,18,9,2,1,A,1,X,7.48129675810474,3,0
657,16,troy,frontal,18,9,2,2,G,1,A,14.5315637819406,6,3
657,16,troy,frontal,18,9,2,3,F,1,G,2.49376558603491,1,-2
657,16,troy,frontal,18,9,2,4,C,1,F,9.97506234413965,4,1
657,16,troy,frontal,18,9,2,5,D,1,C,7.48129675810474,3,0
657,16,troy,frontal,19,3,2,1,A,1,X,9.97506234413965,4,0
657,16,troy,frontal,19,3,2,2,C,1,A,10.5059991279556,4,0
657,16,troy,frontal,19,3,2,3,G,1,C,7.48129675810474,3,-1
657,16,troy,frontal,19,3,2,4,F,1,G,0.46563052444525,1,-3
657,16,troy,frontal,19,3,2,5,C,1,F,7.48129675810474,3,-1
657,16,troy,frontal,20,8,2,1,A,1,X,9.97506234413965,4,0
657,16,troy,frontal,20,8,2,2,D,1,A,14.9625935162095,5,1
657,16,troy,frontal,20,8,2,3,C,1,D,9.97506234413965,4,0
657,16,troy,frontal,20,8,2,4,G,1,C,7.48129675810474,3,-1
657,16,troy,frontal,20,8,2,5,F,1,G,0,0,-4
657,16,troy,frontal,21,12,2,1,A,1,X,13.4090906678026,4,0
657,16,troy,frontal,21,12,2,2,F,1,A,2.49376558603491,1,-3
657,16,troy,frontal,21,12,2,3,C,1,F,4.55650143780096,2,-2
657,16,troy,frontal,21,12,2,4,G,1,C,10.1022375118846,5,1
657,16,troy,frontal,21,12,2,5,C,1,G,4.98753117206983,2,-2
657,16,troy,frontal,22,7,2,1,A,1,X,14.9625935162095,6,0
657,16,troy,frontal,22,7,2,2,C,1,A,7.48129675810474,3,-3
657,16,troy,frontal,22,7,2,3,G,1,C,8.43682608412958,4,-2
657,16,troy,frontal,22,7,2,4,F,1,G,9.97506234413965,4,-2
657,16,troy,frontal,22,7,2,5,C,1,F,8.01223354192068,3,-3
657,16,troy,frontal,23,15,2,1,A,1,X,2.49376558603491,1,0
657,16,troy,frontal,23,15,2,2,C,1,A,14.9625935162095,6,5
657,16,troy,frontal,23,15,2,3,F,1,C,7.48129675810474,3,2
657,16,troy,frontal,23,15,2,4,C,1,F,14.9625935162095,6,5
657,16,troy,frontal,23,15,2,5,F,1,C,3.60652276286729,1,0
657,16,troy,frontal,24,6,2,1,A,1,X,7.48129675810474,3,0
657,16,troy,frontal,24,6,2,2,D,1,A,7.48129675810474,3,0
657,16,troy,frontal,24,6,2,3,C,1,D,17.4563591022444,7,4
657,16,troy,frontal,24,6,2,4,F,1,C,7.48129675810474,3,0
657,16,troy,frontal,24,6,2,5,C,1,F,9.97506234413965,4,1
657,16,troy,frontal,25,5,2,1,A,0,X,NaN,0,0
657,16,troy,frontal,25,5,2,2,C,0,A,NaN,0,0
657,16,troy,frontal,25,5,2,3,F,0,C,NaN,0,0
657,16,troy,frontal,25,5,2,4,C,0,F,NaN,0,0
657,16,troy,frontal,25,5,2,5,G,0,C,NaN,0,0
657,16,troy,frontal,26,10,2,1,A,1,X,2.49376558603491,1,0
657,16,troy,frontal,26,10,2,2,C,1,A,4.98753117206982,2,1
657,16,troy,frontal,26,10,2,3,D,1,C,0,0,-1
657,16,troy,frontal,26,10,2,4,F,1,D,0,0,-1
657,16,troy,frontal,26,10,2,5,C,1,F,7.14530156745668,3,2
657,16,troy,frontal,27,2,2,1,A,1,X,9.97506234413965,4,0
657,16,troy,frontal,27,2,2,2,D,1,A,2.49376558603491,1,-3
657,16,troy,frontal,27,2,2,3,C,1,D,9.33909622201689,4,0
657,16,troy,frontal,27,2,2,4,F,1,C,4.98753117206982,2,-2
657,16,troy,frontal,27,2,2,5,C,1,F,2.49376558603491,1,-3
657,16,troy,frontal,28,16,2,1,A,1,X,7.18864543679142,2,0
657,16,troy,frontal,28,16,2,2,D,1,A,12.4688279301746,5,3
657,16,troy,frontal,28,16,2,3,C,1,D,12.4688279301746,5,3
657,16,troy,frontal,28,16,2,4,G,1,C,2.49376558603491,1,-1
657,16,troy,frontal,28,16,2,5,C,1,G,7.48129675810474,3,1
657,16,troy,frontal,29,11,2,1,A,0,X,NaN,0,0
657,16,troy,frontal,29,11,2,2,G,0,A,NaN,0,0
657,16,troy,frontal,29,11,2,3,C,0,G,NaN,0,0
657,16,troy,frontal,29,11,2,4,F,0,C,NaN,0,0
657,16,troy,frontal,29,11,2,5,C,0,F,NaN,0,0
657,16,troy,frontal,30,13,2,1,A,1,X,4.98753117206983,2,0
657,16,troy,frontal,30,13,2,2,D,1,A,12.4688279301746,5,3
657,16,troy,frontal,30,13,2,3,F,1,D,11.669595710799,4,2
657,16,troy,frontal,30,13,2,4,C,1,F,7.48129675810474,3,1
657,16,troy,frontal,30,13,2,5,G,1,C,9.97506234413965,4,2
657,16,troy,frontal,31,1,2,1,A,1,X,2.49376558603491,1,0
657,16,troy,frontal,31,1,2,2,C,1,A,6.37685949290273,2,1
657,16,troy,frontal,31,1,2,3,F,1,C,9.97506234413965,4,3
