neuron_i,session_i,monkey,area,trial,seq_idx,seq_rep_n,seq_pos,elem_id,rwd_trial,prev_elem,average_win_fr,average_win_spkCount,average_win_delta_spkCount
742,18,troy,frontal,1,6,1,1,A,1,X,0,0,0
742,18,troy,frontal,1,6,1,2,D,1,A,4.98753117206983,2,2
742,18,troy,frontal,1,6,1,3,C,1,D,4.98753117206983,2,2
742,18,troy,frontal,1,6,1,4,F,1,C,4.98753117206982,2,2
742,18,troy,frontal,1,6,1,5,C,1,F,4.98753117206983,2,2
742,18,troy,frontal,2,12,1,1,A,1,X,2.49376558603491,1,0
742,18,troy,frontal,2,12,1,2,F,1,A,6.10028834890221,2,1
742,18,troy,frontal,2,12,1,3,C,1,F,0,0,-1
742,18,troy,frontal,2,12,1,4,G,1,C,0,0,-1
742,18,troy,frontal,2,12,1,5,C,1,G,2.49376558603491,1,0
742,18,troy,frontal,3,3,1,1,A,1,X,4.98753117206982,2,0
742,18,troy,frontal,3,3,1,2,C,1,A,3.18559403543674,0,-2
742,18,troy,frontal,3,3,1,3,G,1,C,2.49376558603491,1,-1
742,18,troy,frontal,3,3,1,4,F,1,G,2.49376558603491,1,-1
742,18,troy,frontal,3,3,1,5,C,1,F,0,0,-2
742,18,troy,frontal,4,15,1,1,A,1,X,2.49376558603491,1,0
742,18,troy,frontal,4,15,1,2,C,1,A,22.4438902743142,9,8
742,18,troy,frontal,4,15,1,3,F,1,C,7.48129675810474,3,2
742,18,troy,frontal,4,15,1,4,C,1,F,4.98753117206983,2,1
742,18,troy,frontal,4,15,1,5,F,1,C,0,0,-1
742,18,troy,frontal,5,10,1,1,A,1,X,7.48129675810474,3,0
742,18,troy,frontal,5,10,1,2,C,1,A,12.4688279301746,4,1
742,18,troy,frontal,5,10,1,3,D,1,C,0,0,-3
742,18,troy,frontal,5,10,1,4,F,1,D,16.6571268828688,6,3
742,18,troy,frontal,5,10,1,5,C,1,F,2.49376558603491,1,-2
742,18,troy,frontal,6,2,1,1,A,0,X,NaN,0,0
742,18,troy,frontal,6,2,1,2,D,0,A,NaN,0,0
742,18,troy,frontal,6,2,1,3,C,0,D,NaN,0,0
742,18,troy,frontal,6,2,1,4,F,0,C,NaN,0,0
742,18,troy,frontal,6,2,1,5,C,0,F,NaN,0,0
742,18,troy,frontal,7,11,1,1,A,1,X,6.10028834890221,2,0
742,18,troy,frontal,7,11,1,2,G,1,A,2.49376558603491,1,-1
742,18,troy,frontal,7,11,1,3,C,1,G,2.49376558603491,1,-1
742,18,troy,frontal,7,11,1,4,F,1,C,2.49376558603491,1,-1
742,18,troy,frontal,7,11,1,5,C,1,F,7.48129675810474,3,1
742,18,troy,frontal,8,9,1,1,A,1,X,2.49376558603491,1,0
742,18,troy,frontal,8,9,1,2,G,1,A,8.87062507893765,3,2
742,18,troy,frontal,8,9,1,3,F,1,G,2.49376558603491,1,0
742,18,troy,frontal,8,9,1,4,C,1,F,4.98753117206983,2,1
742,18,troy,frontal,8,9,1,5,D,1,C,9.97506234413965,4,3
742,18,troy,frontal,9,8,1,1,A,1,X,4.98753117206982,2,0
742,18,troy,frontal,9,8,1,2,D,1,A,9.97506234413965,4,2
742,18,troy,frontal,9,8,1,3,C,1,D,3.88309390686782,1,-1
742,18,troy,frontal,9,8,1,4,G,1,C,4.98753117206983,2,0
742,18,troy,frontal,9,8,1,5,F,1,G,0,0,-2
742,18,troy,frontal,10,16,1,1,A,1,X,2.49376558603491,1,0
742,18,troy,frontal,10,16,1,2,D,1,A,2.49376558603491,1,0
742,18,troy,frontal,10,16,1,3,C,1,D,2.49376558603491,1,0
742,18,troy,frontal,10,16,1,4,G,1,C,0,0,-1
742,18,troy,frontal,10,16,1,5,C,1,G,0,0,-1
742,18,troy,frontal,11,5,1,1,A,1,X,0,0,0
742,18,troy,frontal,11,5,1,2,C,1,A,4.98753117206983,1,1
