neuron_i,session_i,monkey,area,trial,seq_idx,seq_rep_n,seq_pos,elem_id,rwd_trial,prev_elem,average_win_fr,average_win_spkCount,average_win_delta_spkCount
1864,46,walt,frontal,1,4,1,1,A,1,X,48.3029228990895,19,0
1864,46,walt,frontal,1,4,1,2,D,1,A,35.4442548672343,12,-7
1864,46,walt,frontal,1,4,1,3,C,1,D,54.2268767706453,22,3
1864,46,walt,frontal,1,4,1,4,G,1,C,52.2912695946704,21,2
1864,46,walt,frontal,1,4,1,5,F,1,G,31.2748681371988,14,-5
1864,46,walt,frontal,2,7,1,1,A,1,X,47.3815461346633,19,0
1864,46,walt,frontal,2,7,1,2,C,1,A,48.2592677486254,20,1
1864,46,walt,frontal,2,7,1,3,G,1,C,29.7274469276694,12,-7
1864,46,walt,frontal,2,7,1,4,F,1,G,50.8075621687257,20,1
1864,46,walt,frontal,2,7,1,5,C,1,F,37.2604164699805,16,-3
1864,46,walt,frontal,3,12,1,1,A,1,X,68.0616498960767,26,0
1864,46,walt,frontal,3,12,1,2,F,1,A,39.9002493765586,15,-11
1864,46,walt,frontal,3,12,1,3,C,1,F,62.3441396508728,25,-1
1864,46,walt,frontal,3,12,1,4,G,1,C,70.6878914345428,30,4
1864,46,walt,frontal,3,12,1,5,C,1,G,26.4758921203592,9,-17
1864,46,walt,frontal,4,13,1,1,A,1,X,27.6773599397745,10,0
1864,46,walt,frontal,4,13,1,2,D,1,A,32.4189526184539,13,3
1864,46,walt,frontal,4,13,1,3,F,1,D,43.1932471819691,18,8
1864,46,walt,frontal,4,13,1,4,C,1,F,48.9197823946734,19,9
1864,46,walt,frontal,4,13,1,5,G,1,C,44.8877805486284,18,8
1864,46,walt,frontal,5,14,1,1,A,1,X,36.023566649531,14,0
1864,46,walt,frontal,5,14,1,2,D,1,A,19.9501246882793,8,-6
1864,46,walt,frontal,5,14,1,3,G,1,D,35.6279460209531,15,1
1864,46,walt,frontal,5,14,1,4,F,1,G,23.526594768084,11,-3
1864,46,walt,frontal,5,14,1,5,C,1,F,19.9501246882793,8,-6
1864,46,walt,frontal,6,5,1,1,A,1,X,44.2682464132516,17,0
1864,46,walt,frontal,6,5,1,2,C,1,A,13.2133826219002,4,-13
1864,46,walt,frontal,6,5,1,3,F,1,C,27.034596945264,12,-5
1864,46,walt,frontal,6,5,1,4,C,1,F,15.4870931079655,7,-10
1864,46,walt,frontal,6,5,1,5,G,1,C,35.0398933722337,15,-2
1864,46,walt,frontal,7,11,1,1,A,1,X,65.1822203391862,24,0
1864,46,walt,frontal,7,11,1,2,G,1,A,37.8789111873567,14,-10
1864,46,walt,frontal,7,11,1,3,C,1,G,47.0455509440153,19,-5
1864,46,walt,frontal,7,11,1,4,F,1,C,57.492287419469,21,-3
1864,46,walt,frontal,7,11,1,5,C,1,F,52.3690773067332,21,-3
1864,46,walt,frontal,8,10,1,1,A,1,X,46.3970663639482,20,0
1864,46,walt,frontal,8,10,1,2,C,1,A,44.8332287260342,18,-2
1864,46,walt,frontal,8,10,1,3,D,1,C,47.9550466160494,21,1
1864,46,walt,frontal,8,10,1,4,F,1,D,56.0565915174127,21,1
1864,46,walt,frontal,8,10,1,5,C,1,F,48.965142311066,18,-2
1864,46,walt,frontal,9,8,1,1,A,1,X,29.8433900339419,12,0
1864,46,walt,frontal,9,8,1,2,D,1,A,41.1464139768389,17,5
1864,46,walt,frontal,9,8,1,3,C,1,D,38.567354041347,16,4
1864,46,walt,frontal,9,8,1,4,G,1,C,35.9476676692584,14,2
1864,46,walt,frontal,9,8,1,5,F,1,G,24.5066261260803,11,-1
1864,46,walt,frontal,10,6,1,1,A,1,X,22.4438902743142,9,0
1864,46,walt,frontal,10,6,1,2,D,1,A,27.431421446384,11,2
1864,46,walt,frontal,10,6,1,3,C,1,D,4.98753117206983,2,-7
1864,46,walt,frontal,10,6,1,4,F,1,C,39.9002493765586,16,7
1864,46,walt,frontal,10,6,1,5,C,1,F,18.0543326246264,7,-2
1864,46,walt,frontal,11,15,1,1,A,1,X,4.98753117206982,2,0
1864,46,walt,frontal,11,15,1,2,C,1,A,29.925187032419,12,10
1864,46,walt,frontal,11,15,1,3,F,1,C,0,0,-2
1864,46,walt,frontal,11,15,1,4,C,1,F,2.49376558603491,1,-1
1864,46,walt,frontal,11,15,1,5,F,1,C,2.49376558603491,1,-1
1864,46,walt,frontal,12,1,1,1,A,1,X,32.4189526184539,13,0
1864,46,walt,frontal,12,1,1,2,C,1,A,7.48129675810474,3,-10
1864,46,walt,frontal,12,1,1,3,F,1,C,9.97506234413965,4,-9
1864,46,walt,frontal,12,1,1,4,C,1,F,2.49376558603491,1,-12
1864,46,walt,frontal,12,1,1,5,G,1,C,4.98753117206983,1,-12
1864,46,walt,frontal,13,3,1,1,A,0,X,7.48129675810474,3,0
1864,46,walt,frontal,13,3,1,2,C,0,A,2.49376558603491,1,-2
1864,46,walt,frontal,13,3,1,3,G,0,C,40.7627044021238,17,14
1864,46,walt,frontal,13,3,1,4,F,0,G,9.97506234413965,4,1
1864,46,walt,frontal,13,3,1,5,C,0,F,51.8381405229172,21,18
1864,46,walt,frontal,14,6,2,1,A,0,X,43.9033007779133,18,0
1864,46,walt,frontal,14,6,2,2,D,0,A,50.0349164312382,20,2
1864,46,walt,frontal,14,6,2,3,C,0,D,11.0476680797045,3,-15
1864,46,walt,frontal,14,6,2,4,F,0,C,12.4688279301746,4,-14
1864,46,walt,frontal,14,6,2,5,C,0,F,42.007578385202,18,0
1864,46,walt,frontal,15,8,2,1,A,1,X,14.2891859852763,5,0
1864,46,walt,frontal,15,8,2,2,D,1,A,0,0,-5
1864,46,walt,frontal,15,8,2,3,C,1,D,29.925187032419,12,7
1864,46,walt,frontal,15,8,2,4,G,1,C,32.2556865212011,11,6
1864,46,walt,frontal,15,8,2,5,F,1,G,67.3316708229426,27,22
1864,46,walt,frontal,16,12,2,1,A,1,X,2.49376558603491,1,0
1864,46,walt,frontal,16,12,2,2,F,1,A,4.98753117206982,2,1
1864,46,walt,frontal,16,12,2,3,C,1,F,27.431421446384,11,10
1864,46,walt,frontal,16,12,2,4,G,1,C,47.3286941872838,17,16
1864,46,walt,frontal,16,12,2,5,C,1,G,48.6116214353598,19,18
1864,46,walt,frontal,17,13,2,1,A,1,X,28.0215175478414,10,0
1864,46,walt,frontal,17,13,2,2,D,1,A,2.49376558603491,1,-9
1864,46,walt,frontal,17,13,2,3,F,1,D,36.6487151398561,16,6
1864,46,walt,frontal,17,13,2,4,C,1,F,35.3437479387576,14,4
1864,46,walt,frontal,17,13,2,5,G,1,C,42.7520719557995,18,8
1864,46,walt,frontal,18,5,2,1,A,1,X,0,0,0
1864,46,walt,frontal,18,5,2,2,C,1,A,2.49376558603491,1,1
