neuron_i,session_i,monkey,area,trial,seq_idx,seq_rep_n,seq_pos,elem_id,rwd_trial,prev_elem,average_win_fr,average_win_spkCount,average_win_delta_spkCount
1479,31,troy,frontal,1,15,1,1,A,0,X,18.25559132162,8,0
1479,31,troy,frontal,1,15,1,2,C,0,A,24.9376558603491,10,2
1479,31,troy,frontal,1,15,1,3,F,0,C,24.0752008347839,10,2
1479,31,troy,frontal,1,15,1,4,C,0,F,20.6965049602754,9,1
1479,31,troy,frontal,1,15,1,5,F,0,C,22.4438902743142,10,2
1479,31,troy,frontal,2,10,1,1,A,1,X,14.90974156883,4,0
1479,31,troy,frontal,2,10,1,2,C,1,A,14.1633612968339,5,1
1479,31,troy,frontal,2,10,1,3,D,1,C,9.17583012476408,3,-1
1479,31,troy,frontal,2,10,1,4,F,1,D,9.97506234413965,3,-1
1479,31,troy,frontal,2,10,1,5,C,1,F,14.9625935162095,6,2
1479,31,troy,frontal,3,1,1,1,A,1,X,20.3811544225482,8,0
1479,31,troy,frontal,3,1,1,2,C,1,A,9.97506234413965,4,-4
1479,31,troy,frontal,3,1,1,3,F,1,C,9.97506234413965,5,-3
1479,31,troy,frontal,3,1,1,4,C,1,F,14.5912614429334,6,-2
1479,31,troy,frontal,3,1,1,5,G,1,C,19.9501246882793,8,0
1479,31,troy,frontal,4,5,1,1,A,1,X,23.6914912600688,9,0
1479,31,troy,frontal,4,5,1,2,C,1,A,9.97506234413965,4,-5
1479,31,troy,frontal,4,5,1,3,F,1,C,3.35622061160015,1,-8
1479,31,troy,frontal,4,5,1,4,C,1,F,17.1203639115963,8,-1
1479,31,troy,frontal,4,5,1,5,G,1,C,19.9501246882793,8,-1
1479,31,troy,frontal,5,3,1,1,A,1,X,19.9501246882793,8,0
1479,31,troy,frontal,5,3,1,2,C,1,A,16.343601925412,7,-1
1479,31,troy,frontal,5,3,1,3,G,1,C,37.2468790799838,15,7
1479,31,troy,frontal,5,3,1,4,F,1,G,17.4563591022444,7,-1
1479,31,troy,frontal,5,3,1,5,C,1,F,12.5466356422374,5,-3
1479,31,troy,frontal,6,8,1,1,A,1,X,7.48129675810474,3,0
1479,31,troy,frontal,6,8,1,2,D,1,A,12.4688279301746,5,2
1479,31,troy,frontal,6,8,1,3,C,1,D,19.9501246882793,8,5
1479,31,troy,frontal,6,8,1,4,G,1,C,15.5207519262694,5,2
1479,31,troy,frontal,6,8,1,5,F,1,G,17.4563591022444,7,4
1479,31,troy,frontal,7,4,1,1,A,1,X,24.9376558603491,10,0
1479,31,troy,frontal,7,4,1,2,D,1,A,27.431421446384,11,1
1479,31,troy,frontal,7,4,1,3,C,1,D,22.4438902743142,8,-2
1479,31,troy,frontal,7,4,1,4,G,1,C,31.1713516326993,13,3
1479,31,troy,frontal,7,4,1,5,F,1,G,22.1512389530009,8,-2
1479,31,troy,frontal,8,13,1,1,A,1,X,29.925187032419,12,0
1479,31,troy,frontal,8,13,1,2,D,1,A,14.9625935162095,6,-6
1479,31,troy,frontal,8,13,1,3,F,1,D,12.3910202181118,5,-7
1479,31,troy,frontal,8,13,1,4,C,1,F,24.9376558603491,10,-2
1479,31,troy,frontal,8,13,1,5,G,1,C,13.8581562510075,5,-7
1479,31,troy,frontal,9,6,1,1,A,1,X,14.9625935162095,6,0
1479,31,troy,frontal,9,6,1,2,D,1,A,11.5132986041497,4,-2
1479,31,troy,frontal,9,6,1,3,C,1,D,12.4688279301746,6,0
1479,31,troy,frontal,9,6,1,4,F,1,C,12.4688279301746,5,-1
1479,31,troy,frontal,9,6,1,5,C,1,F,43.8920931468723,18,12
1479,31,troy,frontal,10,14,1,1,A,1,X,19.9501246882793,8,0
1479,31,troy,frontal,10,14,1,2,D,1,A,14.9625935162095,6,-2
1479,31,troy,frontal,10,14,1,3,G,1,D,19.704529158298,8,0
1479,31,troy,frontal,10,14,1,4,F,1,G,17.4563591022444,7,-1
1479,31,troy,frontal,10,14,1,5,C,1,F,30.3884240611464,13,5
1479,31,troy,frontal,11,7,1,1,A,1,X,12.5960030979195,6,0
1479,31,troy,frontal,11,7,1,2,C,1,A,21.065258724844,9,3
1479,31,troy,frontal,11,7,1,3,G,1,C,12.4688279301746,5,-1
1479,31,troy,frontal,11,7,1,4,F,1,G,14.9625935162095,6,0
1479,31,troy,frontal,11,7,1,5,C,1,F,13.1047940522973,5,-1
1479,31,troy,frontal,12,12,1,1,A,1,X,16.2087581164898,6,0
1479,31,troy,frontal,12,12,1,2,F,1,A,4.98753117206982,2,-4
1479,31,troy,frontal,12,12,1,3,C,1,F,12.4688279301746,5,-1
1479,31,troy,frontal,12,12,1,4,G,1,C,15.9181228422343,7,1
1479,31,troy,frontal,12,12,1,5,C,1,G,48.4859833998653,20,14
1479,31,troy,frontal,13,9,1,1,A,1,X,24.9376558603491,10,0
1479,31,troy,frontal,13,9,1,2,G,1,A,17.4563591022444,7,-3
1479,31,troy,frontal,13,9,1,3,F,1,G,12.4688279301746,5,-5
1479,31,troy,frontal,13,9,1,4,C,1,F,39.101017157183,15,5
1479,31,troy,frontal,13,9,1,5,D,1,C,24.9376558603491,10,0
1479,31,troy,frontal,14,2,1,1,A,1,X,24.1384236409736,9,0
1479,31,troy,frontal,14,2,1,2,D,1,A,9.97506234413965,4,-5
1479,31,troy,frontal,14,2,1,3,C,1,D,15.9181228422343,7,-2
1479,31,troy,frontal,14,2,1,4,F,1,C,12.4688279301746,5,-4
1479,31,troy,frontal,14,2,1,5,C,1,F,30.5608101911325,13,4
1479,31,troy,frontal,15,16,1,1,A,1,X,2.49376558603491,1,0
1479,31,troy,frontal,15,16,1,2,D,1,A,19.9501246882793,8,7
1479,31,troy,frontal,15,16,1,3,C,1,D,19.5279532089922,8,7
1479,31,troy,frontal,15,16,1,4,G,1,C,21.0339314204214,9,8
1479,31,troy,frontal,15,16,1,5,C,1,G,25.2303071816624,12,11
1479,31,troy,frontal,16,11,1,1,A,1,X,18.091982260958,8,0
1479,31,troy,frontal,16,11,1,2,G,1,A,18.9656449175642,8,0
1479,31,troy,frontal,16,11,1,3,C,1,G,4.98753117206983,2,-6
1479,31,troy,frontal,16,11,1,4,F,1,C,24.761265380241,10,2
1479,31,troy,frontal,16,11,1,5,C,1,F,34.6200668831755,13,5
1479,31,troy,frontal,17,15,2,1,A,1,X,19.5623018758969,7,0
1479,31,troy,frontal,17,15,2,2,C,1,A,15.0404012282723,6,-1
1479,31,troy,frontal,17,15,2,3,F,1,C,31.1465907310816,13,6
1479,31,troy,frontal,17,15,2,4,C,1,F,22.4438902743142,9,2
