neuron_i,session_i,monkey,area,trial,seq_idx,seq_rep_n,seq_pos,elem_id,rwd_trial,prev_elem,average_win_fr,average_win_spkCount,average_win_delta_spkCount
244,8,troy,frontal,1,13,1,1,A,0,X,32.4189526184539,13,0
244,8,troy,frontal,1,13,1,2,D,0,A,23.3920433689775,9,-4
244,8,troy,frontal,1,13,1,3,F,0,D,27.1858259164027,11,-2
244,8,troy,frontal,1,13,1,4,C,0,F,14.9625935162095,6,-7
244,8,troy,frontal,1,13,1,5,G,0,C,25.4032863847944,11,-2
244,8,troy,frontal,2,8,1,1,A,0,X,NaN,0,0
244,8,troy,frontal,2,8,1,2,D,0,A,NaN,0,0
244,8,troy,frontal,2,8,1,3,C,0,D,NaN,0,0
244,8,troy,frontal,2,8,1,4,G,0,C,NaN,0,0
244,8,troy,frontal,2,8,1,5,F,0,G,NaN,0,0
244,8,troy,frontal,3,10,1,1,A,0,X,22.4438902743142,9,0
244,8,troy,frontal,3,10,1,2,C,0,A,17.3291839344994,7,-2
244,8,troy,frontal,3,10,1,3,D,0,C,15.9181228422343,7,-2
244,8,troy,frontal,3,10,1,4,F,0,D,4.98753117206983,2,-7
244,8,troy,frontal,3,10,1,5,C,0,F,2.49376558603491,1,-8
244,8,troy,frontal,4,9,1,1,A,0,X,NaN,0,0
244,8,troy,frontal,4,9,1,2,G,0,A,NaN,0,0
244,8,troy,frontal,4,9,1,3,F,0,G,NaN,0,0
244,8,troy,frontal,4,9,1,4,C,0,F,NaN,0,0
244,8,troy,frontal,4,9,1,5,D,0,C,NaN,0,0
244,8,troy,frontal,5,14,1,1,A,1,X,9.97506234413965,4,0
244,8,troy,frontal,5,14,1,2,D,1,A,2.49376558603491,1,-3
244,8,troy,frontal,5,14,1,3,G,1,D,7.48129675810474,3,-1
244,8,troy,frontal,5,14,1,4,F,1,G,9.97506234413965,4,0
244,8,troy,frontal,5,14,1,5,C,1,F,0,0,-4
244,8,troy,frontal,6,3,1,1,A,0,X,12.7614792514879,6,0
244,8,troy,frontal,6,3,1,2,C,0,A,19.9501246882793,8,2
244,8,troy,frontal,6,3,1,3,G,0,C,15.2552448375228,7,1
244,8,troy,frontal,6,3,1,4,F,0,G,15.0529931768762,6,0
244,8,troy,frontal,6,3,1,5,C,0,F,24.9376558603491,10,4
244,8,troy,frontal,7,16,1,1,A,0,X,NaN,0,0
244,8,troy,frontal,7,16,1,2,D,0,A,NaN,0,0
244,8,troy,frontal,7,16,1,3,C,0,D,NaN,0,0
244,8,troy,frontal,7,16,1,4,G,0,C,NaN,0,0
244,8,troy,frontal,7,16,1,5,C,0,G,NaN,0,0
244,8,troy,frontal,8,7,1,1,A,0,X,NaN,0,0
244,8,troy,frontal,8,7,1,2,C,0,A,NaN,0,0
244,8,troy,frontal,8,7,1,3,G,0,C,NaN,0,0
244,8,troy,frontal,8,7,1,4,F,0,G,NaN,0,0
244,8,troy,frontal,8,7,1,5,C,0,F,NaN,0,0
244,8,troy,frontal,9,11,1,1,A,0,X,NaN,0,0
244,8,troy,frontal,9,11,1,2,G,0,A,NaN,0,0
244,8,troy,frontal,9,11,1,3,C,0,G,NaN,0,0
244,8,troy,frontal,9,11,1,4,F,0,C,NaN,0,0
244,8,troy,frontal,9,11,1,5,C,0,F,NaN,0,0
244,8,troy,frontal,10,5,1,1,A,1,X,22.8749200085831,9,0
244,8,troy,frontal,10,5,1,2,C,1,A,22.4438902743142,9,0
244,8,troy,frontal,10,5,1,3,F,1,C,12.5466356422374,5,-4
244,8,troy,frontal,10,5,1,4,C,1,F,17.4563591022444,6,-3
244,8,troy,frontal,10,5,1,5,G,1,C,9.97506234413965,4,-5
244,8,troy,frontal,11,6,1,1,A,0,X,19.9501246882793,8,0
244,8,troy,frontal,11,6,1,2,D,0,A,14.9625935162095,6,-2
244,8,troy,frontal,11,6,1,3,C,0,D,28.6790224321386,11,3
244,8,troy,frontal,11,6,1,4,F,0,C,18.8718686072284,7,-1
244,8,troy,frontal,11,6,1,5,C,0,F,14.9625935162095,6,-2
244,8,troy,frontal,12,4,1,1,A,0,X,NaN,0,0
244,8,troy,frontal,12,4,1,2,D,0,A,NaN,0,0
